Model,0shot-MC1,0shot-MC1-StdErr,0shot-MC2,0shot-MC2-StdErr,0shot-Gen-BLEU,0shot-Gen-BLEU-StdErr,0shot-Gen-BLEU-acc,0shot-Gen-BLEU-acc-StdErr,0shot-Gen-BLEU-diff,0shot-Gen-BLEU-diff-StdErr,0shot-Gen-ROUGE1,0shot-Gen-ROUGE1-StdErr,0shot-Gen-ROUGE1-acc,0shot-Gen-ROUGE1-acc-StdErr,0shot-Gen-ROUGE1-diff,0shot-Gen-ROUGE1-diff-StdErr,0shot-Gen-ROUGE2,0shot-Gen-ROUGE2-StdErr,0shot-Gen-ROUGE2-acc,0shot-Gen-ROUGE2-acc-StdErr,0shot-Gen-ROUGE2-diff,0shot-Gen-ROUGE2-diff-StdErr,0shot-Gen-ROUGEL,0shot-Gen-ROUGEL-StdErr,0shot-Gen-ROUGEL-acc,0shot-Gen-ROUGEL-acc-StdErr,0shot-Gen-ROUGEL-diff,0shot-Gen-ROUGEL-diff-StdErr,0shot-Gen-BLEURT-max,0shot-Gen-BLEURT-max-StdErr,0shot-Gen-BLEURT-acc,0shot-Gen-BLEURT-acc-StdErr,0shot-Gen-BLEURT-diff,0shot-Gen-BLEURT-diff-StdErr,3shot-MC1,3shot-MC1-StdAcrossSeeds,3shot-MC2,3shot-MC2-StdAcrossSeeds,3shot-SeedsUsed
DeepSeek-V2-Lite-16B-Instruct-BNB-4bit,0.3635,0.0168,0.5390,0.0160,11.2158,0.5084,0.4517,0.0174,-0.1486,0.3019,30.4050,0.6813,0.4712,0.0175,-1.1634,0.4614,19.5032,0.6856,0.4051,0.0172,-1.2045,0.5164,27.3634,0.6697,0.4431,0.0174,-1.3737,0.4556,-0.6346,0.0127,0.5900,0.0172,0.0203,0.0100,0.3407,0.0099,0.4916,0.0069,1234|5678|9012
DeepSeek-V2-Lite-16B-Instruct-AWQ,0.3403,0.0166,0.5176,0.0161,9.4389,0.4521,0.4541,0.0174,-0.3656,0.2638,28.0932,0.6434,0.4651,0.0175,-0.5137,0.4185,16.3948,0.6242,0.3647,0.0169,-1.0380,0.4608,25.0713,0.6215,0.4406,0.0174,-0.9622,0.4033,-0.6923,0.0137,0.5912,0.0172,0.0425,0.0102,0.3407,0.0028,0.5082,0.0041,1234|5678|9012
DeepSeek-V2-Lite-16B-Instruct-2:4-Sparse,0.3207,0.0163,0.4637,0.0158,12.0279,0.5266,0.3672,0.0169,-1.8984,0.3690,32.5536,0.6876,0.4211,0.0173,-1.9165,0.4819,18.6570,0.6940,0.2546,0.0153,-3.5111,0.4976,29.4969,0.6634,0.3941,0.0171,-2.1383,0.4685,-0.3475,0.0162,0.5337,0.0175,0.1071,0.0190,0.3154,0.0051,0.4781,0.0040,1234|5678|9012
DeepSeek-V2-Lite-16B-Instruct-Unstructured-Sparse,0.3244,0.0164,0.4885,0.0160,15.4178,0.6153,0.3611,0.0168,-2.9502,0.4621,38.3397,0.7327,0.3868,0.0170,-4.3824,0.6154,23.7339,0.7865,0.2729,0.0156,-5.5955,0.6998,34.9199,0.7232,0.3562,0.0168,-4.8382,0.6142,-0.5124,0.0159,0.4749,0.0175,-0.0409,0.0159,0.2938,0.0021,0.4663,0.0035,1234|5678|9012
Meta-Llama-3.1-8B-Instruct-FP16,0.4039,0.0172,0.5509,0.0160,7.0059,0.3908,0.4578,0.0174,0.0229,0.1911,20.8310,0.5916,0.5532,0.0174,2.4589,0.3603,8.0868,0.5717,0.1518,0.0126,-0.4679,0.3129,18.6257,0.5546,0.5422,0.0174,2.1321,0.3464,-0.6031,0.0147,0.8152,0.0136,0.2910,0.0139,0.3900,0.0043,0.5546,0.0034,1234|5678|9012
Meta-Llama-3.1-8B-Instruct-BNB-4bit,0.3978,0.0171,0.5685,0.0158,9.7339,0.4549,0.4333,0.0173,-0.4372,0.2895,27.0846,0.6456,0.5006,0.0175,0.2473,0.4064,14.6319,0.6449,0.2693,0.0155,-1.3923,0.4203,24.4307,0.6190,0.4945,0.0175,0.0710,0.3962,-0.6267,0.0156,0.6769,0.0164,0.1397,0.0125,0.3888,0.0051,0.5648,0.0044,1234|5678|9012
Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0.3794,0.0170,0.5340,0.0159,6.2186,0.3254,0.4333,0.0173,-0.1595,0.1986,19.6814,0.5214,0.4651,0.0175,1.0411,0.3620,7.1713,0.4994,0.1261,0.0116,-1.0191,0.3003,17.8698,0.4957,0.4700,0.0175,1.1054,0.3530,-0.7905,0.0155,0.7454,0.0153,0.2025,0.0137,0.3741,0.0035,0.5392,0.0034,1234|5678|9012
Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,0.3880,0.0171,0.5581,0.0160,11.4902,0.4563,0.5532,0.0174,-0.0107,0.3124,29.5365,0.6158,0.6255,0.0169,4.1089,0.4922,14.3948,0.6791,0.2105,0.0143,-1.4171,0.4436,27.5284,0.5859,0.6095,0.0171,4.0093,0.4931,-0.4235,0.0155,0.7173,0.0158,0.3458,0.0191,0.3688,0.0014,0.5364,0.0041,1234|5678|9012
Meta-Llama-3.1-8B-Instruct-2:4-Sparse,0.2852,0.0158,0.4617,0.0153,13.6213,0.5739,0.4529,0.0174,-0.6694,0.4121,31.9749,0.7068,0.5581,0.0174,1.5521,0.4741,15.2951,0.7693,0.1554,0.0127,-3.1340,0.5515,30.0006,0.6912,0.5312,0.0175,0.9689,0.4683,-0.1793,0.0169,0.7209,0.0157,0.4138,0.0234,0.2966,0.0007,0.4578,0.0038,1234|5678|9012
Meta-Llama-3.1-8B-Instruct-Unstructured-Sparse,0.3182,0.0163,0.4838,0.0152,14.0269,0.6244,0.5373,0.0175,-0.7020,0.4553,32.1515,0.7446,0.5789,0.0173,2.4657,0.5822,16.6677,0.8266,0.1958,0.0139,-2.7539,0.5858,30.2054,0.7301,0.5655,0.0174,2.4052,0.5738,-0.2170,0.0198,0.6916,0.0162,0.4507,0.0276,0.3150,0.0102,0.4750,0.0059,1234|5678|9012
Llama-3.1-70B-Instruct-FP16,0.5006,0.0175,0.6683,0.0151,21.9607,1.0116,0.5349,0.0175,7.1030,0.9345,42.7874,0.9581,0.5483,0.0174,7.2594,1.0628,30.5230,1.0529,0.4847,0.0175,7.4875,1.1087,39.9094,0.9754,0.5386,0.0175,7.0921,1.0619,-0.2596,0.0223,0.6450,0.0168,0.2491,0.0282,0.4492,0.0056,0.6249,0.0013,1234|5678|9012
Llama-3.1-70B-Instruct-BNB-4bit,0.4823,0.0175,0.6524,0.0153,27.5837,1.2006,0.5545,0.0174,13.1728,1.1566,46.6060,1.0860,0.5912,0.0172,13.3846,1.2749,35.2519,1.2184,0.4969,0.0175,13.9616,1.3282,43.8932,1.1101,0.5716,0.0173,13.1647,1.2825,-0.1973,0.0243,0.6744,0.0164,0.3946,0.0331,0.4296,0.0064,0.6091,0.0017,1234|5678|9012
Llama-3.1-70B-Instruct-AWQ-INT4,0.4627,0.0175,0.6457,0.0151,23.2032,1.0392,0.5031,0.0175,6.8007,0.9610,44.7631,0.9922,0.5459,0.0174,7.1585,1.0949,31.7423,1.0795,0.4761,0.0175,7.0482,1.1232,41.9075,1.0070,0.5251,0.0175,6.8318,1.1028,-0.2162,0.0226,0.6438,0.0168,0.2616,0.0291,0.4447,0.0103,0.6181,0.0003,1234|5678|9012
Meta-Llama-3.1-70B-Instruct-GPTQ-INT4,0.4896,0.0175,0.6611,0.0152,21.5146,0.9976,0.5239,0.0175,6.6117,0.9370,42.0966,0.9520,0.5263,0.0175,6.4722,1.0822,30.0571,1.0419,0.4749,0.0175,7.0210,1.1186,39.3382,0.9700,0.5263,0.0175,6.4505,1.0842,-0.2872,0.0222,0.6279,0.0169,0.2241,0.0289,0.4321,0.0024,0.6069,0.0037,1234|5678|9012
Meta-Llama-3.1-70B-Instruct-GPTQ-INT8,0.4957,0.0175,0.6678,0.0152,22.1008,1.0159,0.5312,0.0175,7.1928,0.9416,43.0554,0.9589,0.5581,0.0174,7.5069,1.0661,30.6395,1.0536,0.4896,0.0175,7.5804,1.1145,40.2465,0.9761,0.5496,0.0174,7.4619,1.0653,-0.2654,0.0219,0.6450,0.0168,0.2355,0.0270,0.4492,0.0076,0.6256,0.0016,1234|5678|9012
Llama-3.1-70B-Instruct-2:4-Sparse,0.3501,0.0167,0.5241,0.0156,33.2777,1.2354,0.4982,0.0175,12.3841,1.3069,53.2815,1.0695,0.5018,0.0175,10.7732,1.4320,40.4293,1.2499,0.4431,0.0174,9.6964,1.5705,50.6878,1.0916,0.4982,0.0175,10.5381,1.4351,0.0112,0.0238,0.6132,0.0170,0.4170,0.0389,0.3484,0.0093,0.5132,0.0040,1234|5678|9012
Llama-3.1-70B-Instruct-Unstructured-Sparse,0.4174,0.0173,0.5997,0.0156,44.3233,1.4663,0.6169,0.0170,27.5484,1.6087,60.5295,1.1770,0.6328,0.0169,27.3201,1.7394,50.7315,1.3890,0.5765,0.0173,27.7370,1.8336,58.3220,1.2198,0.6169,0.0170,27.1170,1.7497,0.1522,0.0267,0.6879,0.0162,0.7752,0.0451,0.3970,0.0062,0.5651,0.0023,1234|5678|9012
Qwen-7B-Chat-FP16,0.3562,0.0168,0.5164,0.0157,16.5978,0.7053,0.4578,0.0174,2.0176,0.6450,37.4722,0.9029,0.5031,0.0175,3.6486,0.9217,24.6337,0.9555,0.3501,0.0167,1.9424,0.9924,34.7309,0.8949,0.4810,0.0175,3.2386,0.9279,N/A,N/A,N/A,N/A,N/A,N/A,0.3456,0.0049,0.4981,0.0035,1234|5678|9012
Qwen-7B-Chat-BNB-4bit,0.3317,0.0165,0.4936,0.0156,22.4867,0.8219,0.4871,0.0175,5.9415,0.8660,44.7829,1.0086,0.5153,0.0175,9.5038,1.2007,33.2387,1.0959,0.4002,0.0172,8.3727,1.3198,42.1689,1.0193,0.4945,0.0175,9.0536,1.2073,N/A,N/A,N/A,N/A,N/A,N/A,0.3309,0.0007,0.4790,0.0015,1234|5678|9012
Qwen-7B-Chat-GPTQ-INT4,0.3415,0.0166,0.5032,0.0156,17.5430,0.7303,0.3978,0.0171,2.5307,0.6966,38.0748,0.9677,0.4370,0.0174,4.5836,1.0015,26.2520,0.9930,0.3366,0.0165,3.5475,1.0731,35.4998,0.9626,0.4100,0.0172,4.1852,1.0047,N/A,N/A,N/A,N/A,N/A,N/A,0.3468,0.0043,0.4926,0.0018,1234|5678|9012
Qwen-7B-Chat-8bit,0.3574,0.0168,0.5145,0.0157,16.6615,0.6973,0.4639,0.0175,1.7800,0.6533,37.7397,0.9025,0.5141,0.0175,3.5189,0.9426,24.9239,0.9533,0.3550,0.0168,2.0183,1.0033,34.8537,0.8936,0.4859,0.0175,2.9714,0.9484,N/A,N/A,N/A,N/A,N/A,N/A,0.3509,0.0046,0.4956,0.0034,1234|5678|9012
